,법정동코드,법정동명,지번,지목명,용도지역명1,용도지역명2,토지면적,데이터기준일자,주소,좌표정보(X),좌표정보(Y)
0,1159010400,서울특별시 동작구 본동,02월 02일,도로,제1종일반주거지역,자연녹지지역,1954,2019-08-08,서울특별시 동작구 본동 2-2,37.51238196,126.9590459
1,1159010400,서울특별시 동작구 본동,03월 07일,도로,제1종일반주거지역,자연녹지지역,1537,2019-08-08,서울특별시 동작구 본동 3-7,37.51253129,126.958374
2,1159010400,서울특별시 동작구 본동,05월 20일,도로,제1종일반주거지역,자연녹지지역,1458,2019-08-08,서울특별시 동작구 본동 5-20,37.51322928,126.9573003
3,1159010400,서울특별시 동작구 본동,10-40,도로,제1종일반주거지역,자연녹지지역,2061,2019-08-08,서울특별시 동작구 본동 10-40,37.51336898,126.9561879
4,1159010400,서울특별시 동작구 본동,475-1,도로,제1종일반주거지역,자연녹지지역,28236,2019-08-08,서울특별시 동작구 본동 475-1,37.51399235,126.956113
5,1159010400,서울특별시 동작구 본동,02월 03일,수도용지,제1종일반주거지역,자연녹지지역,826,2019-08-08,서울특별시 동작구 본동 2-3,37.5121707,126.9576425
6,1159010400,서울특별시 동작구 본동,03월 07일,도로,제1종일반주거지역,자연녹지지역,883,2019-08-08,서울특별시 동작구 본동 3-7,37.51253129,126.958374
7,1159010500,서울특별시 동작구 흑석동,01월 01일,대,제2종일반주거지역,자연녹지지역,940,2019-08-08,서울특별시 동작구 흑석동 1-1,37.50950664,126.9642197
8,1159010500,서울특별시 동작구 흑석동,01월 03일,종교용지,제2종일반주거지역,자연녹지지역,3741,2019-08-08,서울특별시 동작구 흑석동 1-3,37.50965747,126.9639029
9,1159010500,서울특별시 동작구 흑석동,01월 18일,종교용지,제2종일반주거지역,자연녹지지역,527,2019-08-08,서울특별시 동작구 흑석동 1-18,37.5095248,126.9640897
10,1159010500,서울특별시 동작구 흑석동,01월 19일,종교용지,제2종일반주거지역,자연녹지지역,637,2019-08-08,서울특별시 동작구 흑석동 1-19,37.51004731,126.9638302
11,1159010500,서울특별시 동작구 흑석동,114-1,대,제2종일반주거지역,자연녹지지역,72,2019-08-08,서울특별시 동작구 흑석동 114-1,37.50968289,126.9633675
12,1159010500,서울특별시 동작구 흑석동,114-3,대,제2종일반주거지역,자연녹지지역,30,2019-08-08,서울특별시 동작구 흑석동 114-3,37.5096441,126.9632329
13,1159010500,서울특별시 동작구 흑석동,114-14,대,제2종일반주거지역,자연녹지지역,50,2019-08-08,서울특별시 동작구 흑석동 114-14,37.50941054,126.9634555
14,1159010500,서울특별시 동작구 흑석동,114-45,대,제2종일반주거지역,자연녹지지역,190,2019-08-08,서울특별시 동작구 흑석동 114-45,37.50941227,126.9634961
15,1159010500,서울특별시 동작구 흑석동,114-49,종교용지,제2종일반주거지역,자연녹지지역,30,2019-08-08,서울특별시 동작구 흑석동 114-49,37.50951313,126.9633462
16,1159010500,서울특별시 동작구 흑석동,114-50,종교용지,제2종일반주거지역,자연녹지지역,9,2019-08-08,서울특별시 동작구 흑석동 114-50,37.50956664,126.9632893
17,1159010500,서울특별시 동작구 흑석동,115-1,전,제2종일반주거지역,자연녹지지역,803,2019-08-08,서울특별시 동작구 흑석동 115-1,37.5095866,126.9634685
18,1159010500,서울특별시 동작구 흑석동,115-2,전,제2종일반주거지역,자연녹지지역,4,2019-08-08,서울특별시 동작구 흑석동 115-2,37.50978097,126.9635383
19,1159010500,서울특별시 동작구 흑석동,130-3,도로,제2종일반주거지역,자연녹지지역,2054,2019-08-08,서울특별시 동작구 흑석동 130-3,37.50932538,126.962524
20,1159010500,서울특별시 동작구 흑석동,275-3,대,제2종일반주거지역,자연녹지지역,1077.2,2019-08-08,서울특별시 동작구 흑석동 275-3,37.505342,126.9717954
21,1159010500,서울특별시 동작구 흑석동,275-4,대,제2종일반주거지역,자연녹지지역,113.6,2019-08-08,서울특별시 동작구 흑석동 275-4,37.50517111,126.9719504
22,1159010500,서울특별시 동작구 흑석동,275-5,대,제2종일반주거지역,자연녹지지역,123.5,2019-08-08,서울특별시 동작구 흑석동 275-5,37.50506479,126.9719434
23,1159010500,서울특별시 동작구 흑석동,275-15,임야,제2종일반주거지역,자연녹지지역,174.4,2019-08-08,서울특별시 동작구 흑석동 275-15,37.50549571,126.9718023
