No,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소
7916,118000126,19211,한신아파트.선유도역,126.8929866075,37.5381465306,,서울특별시 영등포구 양평동5가 26-14,서울특별시 영등포구 양평동5가 양평로 131-1
7917,118000127,19212,선유도역.롯데제과,126.8948754336,37.5371966691,,서울특별시 영등포구 양평동4가 93-1,서울특별시 영등포구 양평동4가 양평로 111-1
7918,118000128,19213,선유도역.롯데제과,126.8955567144,37.53714501,,서울특별시 영등포구 양평동4가 93-1,서울특별시 영등포구 양평동4가 양평로 108
7919,118000129,19214,양평한신아파트.선유도공원입구,126.8944278421,37.5416485864,,서울특별시 영등포구 당산동 37-2,서울특별시 영등포구 양평동5가 양평로24길 33
7920,118000130,19215,영등포아리수정수센터,126.8836088426,37.5477874937,,서울특별시 영등포구 양화동 10-8,서울특별시 양천구 안양천로 1179
7921,118000131,19216,양평한신아파트.선유도공원입구,126.8948788945,37.5418639873,,서울특별시 영등포구 당산동 37-1,서울특별시 영등포구 양평동5가 양평로24길 33
7922,118000132,19217,안양천입구,126.8845009801,37.5468404177,,서울특별시 영등포구 양화동 1-22,서울특별시 영등포구 노들로 56
7923,118000133,19218,양평동한솔아파트,126.89034721,37.5439165302,,서울특별시 영등포구 양화동 1-48,서울특별시 영등포구 양평동6가 양평로28사길 21
7924,118000579,19219,신풍역,126.9080213793,37.4999832177,,서울특별시 영등포구 신길동 428-11,서울특별시 영등포구 신풍로 18-1
7925,118000135,19220,당산초등학교앞,126.8945867224,37.538917506,,서울특별시 영등포구 양평동5가 66-1,서울특별시 영등포구 양평동5가 양평로22길 13
7926,118000136,19221,선유고등학교,126.8962260669,37.5342683978,,서울특별시 영등포구 양평동4가 24-2,서울특별시 영등포구 양평동4가 선유로 233
7927,118000137,19222,선유고등학교,126.8965986626,37.5340353405,,서울특별시 영등포구 양평동4가 2,서울특별시 영등포구 양평동4가 선유동2로 57
7928,118000138,19223,선유중학교,126.8945217072,37.532051991,,서울특별시 영등포구 양평동3가 80-4,서울특별시 영등포구 양평동3가 선유로 207
7929,118000139,19224,선유중학교,126.8943181295,37.5311849532,,서울특별시 영등포구 양평동3가 78-15,서울특별시 영등포구 양평동3가 선유로 202
7930,118000140,19225,신길역,126.916956,37.516815,,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327
7931,118000141,19226,신길새마을금고,126.9200351486,37.5136409433,,서울특별시 영등포구 신길동 96-20,서울특별시 영등포구 영등포로 378
7932,118000142,19227,신길새마을금고,126.9195131812,37.5140830291,,서울특별시 영등포구 신길동 65-2,서울특별시 영등포구 영등포로 371-1
7933,118000143,19228,대신시장,126.9164648846,37.5117299416,,서울특별시 영등포구 신길동 115-14,서울특별시 영등포구 도신로 228
7934,118000144,19229,대윤병원,126.9180013582,37.5145433526,,서울특별시 영등포구 신길동 103-6,서울특별시 영등포구 영등포로 358
7935,118000145,19230,대신시장,126.9161953166,37.5120379271,,서울특별시 영등포구 신길동 162-4,서울특별시 영등포구 도신로 225
7936,118000146,19231,영등포농협.신길2동새마을금고,126.9134268544,37.5114267865,,서울특별시 영등포구 신길동 193-23,서울특별시 영등포구 도신로51길 1
7937,118000147,19232,우신초등학교,126.910600282,37.5093088964,,서울특별시 영등포구 신길동 226-78,서울특별시 영등포구 신길로 191
7938,118000148,19233,신길한화꿈에그린아파트,126.9100531732,37.5033440908,,서울특별시 영등포구 신길동 253-172,서울특별시 영등포구 신길로 119
7939,118000149,19234,성락교회,126.9027226186,37.5043105707,,서울특별시 영등포구 신길동 355-15,서울특별시 영등포구 가마산로 411
7940,118000150,19235,성락교회,126.9028724835,37.5047495305,,서울특별시 영등포구 신길동 355-707,서울특별시 영등포구 도림로 302
7941,118000151,19236,도림동자치회관,126.9076717402,37.5092940284,,서울특별시 영등포구 신길동 287-1,서울특별시 영등포구 도신로 146
7942,118000153,19238,우신초등학교,126.9109396956,37.5092523834,,서울특별시 영등포구 신길동 210,서울특별시 영등포구 신길로 191-1
7943,118000154,19239,사러가쇼핑센타,126.9108112918,37.5049891763,,서울특별시 영등포구 신길동 237-11,서울특별시 영등포구 신길로 145
7944,118000155,19240,영등포농협.신길2동새마을금고,126.9122340757,37.5108942569,,서울특별시 영등포구 신길동 214-5,서울특별시 영등포구 도신로 188
7945,118000156,19241,신풍역.백악관웨딩문화원앞,126.909398952,37.5009214286,,서울특별시 영등포구 신길동 253-249,서울특별시 영등포구 신길로 92-2
7946,118000157,19242,신길5동주민센터,126.9055413507,37.5006543842,,서울특별시 영등포구 신길동 399,서울특별시 영등포구 도림로 250
7947,118000158,19243,신길5동주민센터,126.9049278277,37.5010548825,,서울특별시 영등포구 신길동 399,서울특별시 영등포구 도림로 259
7948,118000159,19244,신풍역,126.9068971154,37.5000120734,,서울특별시 영등포구 신길동 427-2,서울특별시 영등포구 신풍로 10
7949,118000160,19245,신길5동새마을금고우리시장,126.9045627731,37.4981782693,,서울특별시 영등포구 신길동 436-23,서울특별시 영등포구 도림로 224
7950,118000161,19246,신길5동새마을금고,126.9045757143,37.4986738862,,서울특별시 영등포구 신길동 417-47,서울특별시 영등포구 도림로 225-1
7951,118000162,19247,태양의집.KT대방지사,126.9088872295,37.4948151631,,서울특별시 영등포구 신길동 4780,서울특별시 영등포구 여의대방로 25
7952,118000163,19248,신길주유소,126.9083965467,37.4984011732,,서울특별시 영등포구 신길동 3741-4,서울특별시 영등포구 대방천로12길 9
7953,118000164,19249,신풍역.백악관웨딩문화원앞,126.9100850037,37.5013238443,,서울특별시 영등포구 신길동 3591,서울특별시 영등포구 신길로 108
7954,118000598,19251,레미안에스티움북문,126.916458,37.501245,,서울특별시 영등포구 신길동 2091-1,서울특별시 영등포구 여의대방로35길 42
7955,118000599,19252,신길3동주민센터,126.90639,37.507364,,서울특별시 영등포구 신길동 302-4,서울특별시 영등포구 가마산로65길 18
7956,118000168,19253,대방역,126.9237905553,37.5127693585,,서울특별시 영등포구 신길동 1329,서울특별시 영등포구 영등포로 412-1
7957,118000169,19254,대방역,126.9242224384,37.5130048235,,서울특별시 영등포구 신길동 0-9,서울특별시 영등포구 영등포로 405
7958,118000170,19255,공군호텔,126.9240536702,37.5098706868,,서울특별시 영등포구 신길동 1251-1,서울특별시 동작구 여의대방로 258-2
7959,118000171,19256,서울지방병무청,126.9221593231,37.5051747159,,서울특별시 영등포구 신길동 855-1,서울특별시 영등포구 여의대방로 201
7960,118000172,19257,대방초등학교,126.9210085488,37.5023841407,,서울특별시 영등포구 신길동 681-1,서울특별시 영등포구 여의대방로 171
7961,118000173,19258,태양의집,126.9081932881,37.4962924349,,서울특별시 영등포구 대림동 910-3,서울특별시 영등포구 신길로 39-3
7962,118000175,19260,대림동우체국,126.9054525686,37.4894382828,,서울특별시 영등포구 대림동 989-14,서울특별시 영등포구 대림로 78
7963,118000176,19261,흰돌교회,126.9032194509,37.4909422192,,서울특별시 영등포구 대림동 1018-19,서울특별시 영등포구 대림로 106
7964,118000177,19262,대동초등학교,126.9007387862,37.4939967041,,서울특별시 영등포구 대림동 697-2,서울특별시 영등포구 대림로 142
7965,118000178,19263,서울영림초등학교,126.9051978839,37.4878404212,,서울특별시 영등포구 대림동 990-130,서울특별시 영등포구 시흥대로 621
7966,118000179,19264,대림역12번출구,126.8966231256,37.4925216728,,서울특별시 영등포구 대림동 1051-84,서울특별시 영등포구 도림로 128
7967,118000180,19265,대동초등학교,126.8988897715,37.4939626964,,서울특별시 영등포구 대림동 709,서울특별시 영등포구 도림로 154
7968,118000181,19266,대동초등학교,126.9006611965,37.4936614284,,서울특별시 영등포구 대림동 702,서울특별시 영등포구 대림로 140
7969,118000182,19267,흰돌교회,126.9032572847,37.4905430612,,서울특별시 영등포구 대림동 1016-21,서울특별시 영등포구 대림로 99
7970,118000183,19268,대림동우체국,126.9047297114,37.4896278351,,서울특별시 영등포구 대림동 990-45,서울특별시 영등포구 대림로 83
7971,118000184,19269,대림동우성아파트,126.9019294528,37.4958764984,,서울특별시 영등포구 대림동 845-14,서울특별시 영등포구 도림로 188
7972,118000185,19270,대림역,126.8964678601,37.4927621315,,서울특별시 영등포구 대림동 1050-17,서울특별시 영등포구 도림로 127
