,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y),지번주소,도로명주소,법정동
31,1184236,2015,근린공원,"공원(노량진, 중앙)",0,14683,0,대방동44-29,37.50914973,126.93370379999999,서울특별시 동작구 대방동 44-29,서울특별시 동작구 등용로4길 81-20,대방동
32,1184237,2015,근린공원,"공원(노량진, 생태)",0,18226,0,노량진동252-3,37.51128099,126.9375561,서울특별시 동작구 노량진동 252-3,서울특별시 동작구 노량진로10가길 5-7,노량진동
33,1184238,2015,근린공원,공원(노들),0,1235,0,노량진동119-171,37.51088072,126.9431743,서울특별시 동작구 노량진동 119-171,서울특별시 동작구 장승배기로26길 68-3,노량진동
34,1184245,2015,근린공원,공원,0,0,0,흑석동58-11일대,37.50505087,126.96409240000001,서울특별시 동작구 흑석동 58-11,서울특별시 동작구 서달로12길 69-11,흑석동
35,1184246,2015,근린공원,공원,0,0,0,흑석동69-163일대,37.50225289,126.963815,서울특별시 동작구 흑석동 69-163,서울특별시 동작구 흑석한강로 27,흑석동
36,1184211,2015,어린이공원,공원(햇님),0,876,0,상도동424,37.49742378,126.95865590000001,서울특별시 동작구 상도동 424,서울특별시 동작구 상도로55길 47,상도동
37,1184212,2015,어린이공원,공원(토끼),0,824,0,사당1동1000-13,37.478100500000004,126.96804180000001,서울특별시 동작구 사당동 산 44-23,서울특별시 동작구 사당로16길 156-2,사당동
38,1184214,2015,어린이공원,공원(참새),0,2950,0,대방동414-29,37.49820084,126.9219669,서울특별시 동작구 대방동 414-29,서울특별시 동작구 여의대방로24나길 18,대방동
39,1184215,2015,어린이공원,공원(제비),0,1814,0,대방동362-11,37.50643369,126.92588729999999,서울특별시 동작구 대방동 362-11,서울특별시 동작구 대방동길 74,대방동
40,1184218,2015,어린이공원,공원(은하수),0,4503,0,신대방1동492-222,37.49407403,126.91267909999999,서울특별시 동작구 신대방동 492-222,서울특별시 동작구 여의대방로 28,신대방동
41,1184219,2015,어린이공원,공원(양지),0,568,0,사당1동316-37,37.47988509,126.97401780000001,서울특별시 동작구 사당동 316-37,서울특별시 동작구 남부순환로269길 102,사당동
42,1184220,2015,어린이공원,공원(샛별),0,344,0,사당5동204-16,37.4873443,126.96329569999999,서울특별시 동작구 사당동 산 32-106,서울특별시 동작구 관악로30길 47-22,사당동
43,1184221,2015,어린이공원,공원(새싹),0,780,0,사당4동316-33,37.479964100000004,126.9731582,서울특별시 동작구 사당동 316-42,서울특별시 동작구 사당로20다길 25,사당동
44,1184222,2015,어린이공원,공원(새벽),0,496,0,상도3동335-141,37.50072448,126.93020049999998,서울특별시 동작구 상도동 335-141,서울특별시 동작구 상도로13길 7,상도동
45,1184223,2015,어린이공원,공원(상도4),0,304,0,상도동 264-156일대,37.49771352,126.936304,서울특별시 동작구 상도동 264-156,서울특별시 동작구 성대로 104,상도동
46,1184224,2015,어린이공원,공원(상도),0,1500,0,상도동172-23,37.5037122,126.9396311,서울특별시 동작구 상도동 181-15,서울특별시 동작구 장승배기로 68,상도동
47,1184225,2015,어린이공원,공원(상도),0,1514,0,상도동 24-55일대,37.5067787,126.9424867,서울특별시 동작구 노량진동 326,서울특별시 동작구 만양로 19,노량진동
48,1184226,2015,어린이공원,공원(산새),0,813,0,흑석2동293-4,37.50405907,126.96795120000002,서울특별시 동작구 흑석동 293-4,서울특별시 동작구 현충로12길 101,흑석동
50,1184231,2015,어린이공원,공원(별님),0,259,0,상도4동211-415,37.49893189,126.9449665,서울특별시 동작구 상도동 211-415,서울특별시 동작구 양녕로28길 13,상도동
51,1184232,2015,어린이공원,공원(무궁화),0,0,0,상도동 477,37.49847559,126.9523488,서울특별시 동작구 상도동 477,서울특별시 동작구 상도로37길 66,상도동
52,1184233,2015,어린이공원,공원(동산),0,594,0,사당4동300-54,37.47950313,126.9697632,서울특별시 동작구 사당동 300-54,서울특별시 동작구 사당로16자길 41,사당동
53,1184234,2015,어린이공원,공원(늘푸른),0,1503,0,사당5동산32-76,37.48239305,126.96917079999999,서울특별시 동작구 사당동 산 32-76,서울특별시 동작구 사당로16다길 57,사당동
54,1184235,2015,어린이공원,공원(노루),0,337,0,사당4동316-23,37.48182906,126.97419939999999,서울특별시 동작구 사당동 316-23,서울특별시 동작구 사당로20나길 26,사당동
55,1184239,2015,어린이공원,공원(꿈돌이),0,761,0,사당4동300-26,37.48033887,126.9699838,서울특별시 동작구 사당동 300-26,서울특별시 동작구 사당로16사길 48,사당동
56,1184240,2015,어린이공원,공원(까치),0,1604,0,사당1동1028-1,37.48048863,126.97977240000002,서울특별시 동작구 사당동 1028-1,서울특별시 동작구 동작대로9길 35,사당동
57,1184241,2015,어린이공원,공원 (반달),0,185,0,사당동233-12,37.48351007,126.9679477,서울특별시 동작구 사당동 233-12,서울특별시 동작구 사당로8나길 9,사당동
58,1184242,2015,어린이공원,공원 (꿈동산),0,531,0,상도동55-170,37.5031401,126.95199070000001,서울특별시 동작구 상도1동 325-11,서울특별시 동작구 상도로47길 90,상도1동
59,1184243,2015,어린이공원,공원,0,2390,0,사당동171-173번지 일대,37.4885018,126.9721337,서울특별시 동작구 사당동 169-8,서울특별시 동작구 사당로23길 137,사당동
60,1184244,2015,어린이공원,공원,0,1610,0,사당동41번지 일대,37.49145534,126.98081950000001,서울특별시 동작구 사당동 41,서울특별시 동작구 동작대로35길 36,사당동
61,1184247,2015,어린이공원,공원,0,851,0,상도동54-15,37.503921000000005,126.9517502,서울특별시 동작구 상도1동 656-1,서울특별시 동작구 상도로47길 105,상도1동
62,1184248,2015,어린이공원,공원,0,1043,0,노량진동221-31일대,37.5090054,126.9422065,서울특별시 동작구 노량진동 225-57,서울특별시 동작구 장승배기로20길 46-3,노량진동
63,1184249,2015,어린이공원,공원,0,2654,0,동작동58-10일대,37.4937298,126.9779777,서울특별시 동작구 동작동 331,서울특별시 동작구 동작대로39가길 55,동작동
64,1184250,2015,어린이공원,공원,0,0,0,상도동36-1일대,37.5052719,126.94599140000001,서울특별시 동작구 상도동 22-86,서울특별시 동작구 상도로31길 83,상도동
65,1184251,2015,어린이공원,공원,0,2164,0,흑석동54-28일대,37.506638,126.9618125,서울특별시 동작구 흑석동 332,서울특별시 동작구 서달로10길 2,흑석동
66,1184252,2015,어린이공원,공원,0,0,0,흑석동173-15,37.50988512,126.9596367,서울특별시 동작구 흑석동 173-15,서울특별시 동작구 현충로 52,흑석동
67,1184253,2015,묘지공원,공원(현충묘지),0,0,0,상도동7-137번지일대,37.5047569,126.9513156,서울특별시 동작구 상도1동 528-1,서울특별시 동작구 흑석로 6,상도1동
68,1127034,2015,배수시설,수도공급설비,2000,7038,0,상도동 산75-1일대,37.49321735,126.9384067,서울특별시 동작구 상도동 산 75-1,서울특별시 동작구 국사봉1길 235-11,상도동
69,1127035,2015,배수시설,수도공급설비,277,277,0,상도동274-19,37.49696327,126.9346905,서울특별시 동작구 상도동 274-19,서울특별시 동작구 성대로10길 16,상도동
70,1127036,2015,배수시설,수도공급설비,592,592,0,상도동274-19,37.49696327,126.9346905,서울특별시 동작구 상도동 274-19,서울특별시 동작구 성대로10길 16,상도동
71,1127037,2015,배수시설,수도공급설비,30000,19935,0,동작구 본동126-311일대,37.509384399999995,126.952701,서울특별시 동작구 본동 산 6-13,서울특별시 동작구 매봉로 134,본동
72,1127038,2015,배수시설,수도공급설비,1000,1001,0,동작구 사당동 산22-16일대,37.49258041,126.96690009999999,서울특별시 동작구 사당동 산 22-16,서울특별시 동작구 사당로23길 282,사당동
73,1127039,2015,변전시설,전기공급설비,0,4668,0,동작구 사당동 산22-16일대,37.49258041,126.96690009999999,서울특별시 동작구 사당동 산 22-16,서울특별시 동작구 사당로23길 282,사당동
