No,개방서비스명,소재지전체주소,도로명전체주소,사업장명,좌표정보(X),좌표정보(Y),지번주소,도로명주소
157,석유판매업,서울특별시 동작구 신대방동 686-44번지 ,서울특별시 동작구 시흥대로 616 (신대방동),SK네트웍스(주) 21세기주유소,37.48712087,126.9056443,서울특별시 동작구 신대방동 686-44,서울특별시 동작구 시흥대로 616
158,석유판매업,서울특별시 동작구 신대방동 375-35번지 ,서울특별시 동작구 여의대방로22길 12 (신대방동),제일석유,37.49753494,126.9203974,서울특별시 동작구 신대방동 375-35,서울특별시 동작구 여의대방로22길 12
159,석유판매업,서울특별시 동작구 상도동 468-1번지 ,서울특별시 동작구 상도로 334 (상도동),살피재주유소,37.49839501,126.9514054,서울특별시 동작구 상도동 468-1,서울특별시 동작구 상도로 334
160,석유판매업,서울특별시 동작구 상도동 190-1번지 ,서울특별시 동작구 상도로 139 (상도동),매일주유소,37.50273516,126.9350836,서울특별시 동작구 상도동 190-1,서울특별시 동작구 상도로 139
161,석유판매업,서울특별시 동작구 상도동 355-20번지 ,서울특별시 동작구 성대로1길 17 (상도동),한강에너지,37.50105578,126.9338017,서울특별시 동작구 상도동 355-20,서울특별시 동작구 성대로1길 17
162,석유및석유대체연료판매업체,서울특별시 동작구 상도동 55번지 108호 ,서울특별시 동작구 상도로47사길 6-7 (상도동),주식회사 인코리아에너지,37.503538,126.9525167,서울특별시 동작구 상도1동 483-9,서울특별시 동작구 상도로47아길 12
163,석유및석유대체연료판매업체,서울특별시 동작구 상도동 198-45,서울특별시 동작구 성대로25가길 27-3 (상도동),페트로에너지 주식회사 ,37.50039023,126.9376516,서울특별시 동작구 상도동 198-45,서울특별시 동작구 성대로25가길 27-3
164,분뇨수집운반업,서울특별시 동작구 사당동 141-197번지 4층 ,서울특별시 동작구 사당로27길 18 (사당동),고리환경(주),37.48520606,126.9783835,서울특별시 동작구 사당동 141-197,서울특별시 동작구 사당로27길 18
165,배출가스전문정비사업자(확인검사대행자),서울특별시 동작구 대방동 70-1번지 ,,현대자동차(주)남부서비스센터,37.51399651,126.9327625,서울특별시 동작구 대방동 70-1,서울특별시 동작구 노량진로 53
166,대기오염물질배출시설설치사업장,서울특별시 동작구 사당동 1031-3번지 ,"서울특별시 동작구 동작대로 35 (사당동, 삼성생명)",문배철강 주식회사,37.47961412,126.980938,서울특별시 동작구 사당동 1031-3,서울특별시 동작구 사당로30길 115
167,대기오염물질배출시설설치사업장,서울특별시 동작구 상도동 176-3번지 ,"서울특별시 동작구 장승배기로10길 42 (상도동, 동작문화복지센타)",동작문화복지센터,37.50442384,126.9411375,서울특별시 동작구 상도동 176-3,서울특별시 동작구 장승배기로10길 42
168,대기오염물질배출시설설치사업장,서울특별시 동작구 흑석동 116-1번지 ,"서울특별시 동작구 현충로 73 (흑석동, 흑석 체육센타)",흑석체육센터,37.51005495,126.96347,서울특별시 동작구 흑석동 116-1,서울특별시 동작구 현충로 73
169,대기오염물질배출시설설치사업장,서울특별시 동작구 신대방동 460-1번지 ,"서울특별시 동작구 여의대방로16길 53 (신대방동, 동작구민체육센터)",동작구민체육센터,37.49472364,126.9167737,서울특별시 동작구 신대방동 460-1,서울특별시 동작구 여의대방로16길 53
170,대기오염물질배출시설설치사업장,서울특별시 동작구 노량진동 330번지 ,"서울특별시 동작구 만양로 84, 지하1층 (노량진동, 삼익주상복합아파트)",삼익사우나,37.51092858,126.9451323,서울특별시 동작구 노량진동 330,서울특별시 동작구 만양로 84
171,대기오염물질배출시설설치사업장,서울특별시 동작구 대방동 345-1번지 ,"서울특별시 동작구 여의대방로54길 18 (대방동, 서울여성플라자)",서울특별시여성가족재단,37.51157857,126.927143,서울특별시 동작구 대방동 345-1,서울특별시 동작구 여의대방로54길 18
172,대기오염물질배출시설설치사업장,서울특별시 동작구 사당동 136-1번지 ,"서울특별시 동작구 동작대로 115 (사당동, 태평백화점)",경유산업(주),37.48687591,126.9816068,서울특별시 동작구 사당동 136-1,서울특별시 동작구 동작대로 115
173,대기오염물질배출시설설치사업장,서울특별시 동작구 신대방동 395-68번지 ,"서울특별시 동작구 보라매로5가길 24 (신대방동, 보라매나산스위트)",(주)아스타아이비에스보라매나산스위트,37.49069116,126.9239519,서울특별시 동작구 신대방동 395-68,서울특별시 동작구 보라매로5가길 24
