,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
68,1184252,2015,어린이공원,공원,0,0,0,흑석동173-15,37.50988512,126.9596367
69,1184253,2015,묘지공원,공원(현충묘지),0,0,0,상도동7-137번지일대,37.5047569,126.9513156
70,1127034,2015,배수시설,수도공급설비,2000,7038,0,상도동 산75-1일대,37.49321735,126.9384067
71,1127035,2015,배수시설,수도공급설비,277,277,0,상도동274-19,37.49696327,126.9346905
72,1127036,2015,배수시설,수도공급설비,592,592,0,상도동274-19,37.49696327,126.9346905
73,1127037,2015,배수시설,수도공급설비,30000,19935,0,동작구 본동126-311일대,37.5093844,126.952701
74,1127038,2015,배수시설,수도공급설비,1000,1001,0,동작구 사당동 산22-16일대,37.49258041,126.9669001
75,1127039,2015,변전시설,전기공급설비,0,4668,0,동작구 사당동 산22-16일대,37.49258041,126.9669001
76,1127040,2015,열원시설,열공급시설,0,12209,0,동작구 흑석동105일대,37.50856741,126.9629645
77,1127041,2015,대규모점포및임시시장,시장,0,3192,0,동작구 흑석동105일대,37.50856741,126.9629645
78,1127042,2015,대규모점포및임시시장,시장,0,1221,0,동작구 사당동 318-8,37.48286376,126.9749851
79,1127043,2015,대규모점포및임시시장,시장,0,2220,0,동작구 사당동 318-8,37.48286376,126.9749851
80,1127044,2015,대규모점포및임시시장,시장,0,3192,0,동작구 상도동213-1일대,37.4968249,126.9427862
81,1127045,2015,대규모점포및임시시장,시장,0,1635,0,동작구 신대방동361-66,37.49796881,126.9237345
82,1127046,2015,대규모점포및임시시장,시장,0,3518,0,동작구 사당동136-1일대,37.48687591,126.9816068
83,1127047,2015,대규모점포및임시시장,시장,0,3688,0,동작구 사당동1038-37,37.47846186,126.9785156
84,1127048,2015,농수산물도매시장,시장,0,5100,0,동작구 노량진동16-3일대,37.51408442,126.9378142
85,1127049,2015,농수산물도매시장,시장,0,40178,0,동작구 노량진동13-8일대,37.51532501,126.942059
86,1236674,2015,초등학교,강남초교,0,23421,0,상도1동 501,37.49532696,126.9554353
87,1236675,2015,초등학교,남사초교,0,12033,0,사당1동 1011-1,37.48234446,126.9788624
88,1236676,2015,초등학교,남성초교,0,17775,0,사당동 산27-5,37.4844685,126.9753252
89,1236677,2015,초등학교,노량진초교,0,12061,0,노량진동 238,37.511281,126.9385357
90,1236678,2015,초등학교,대림초교,0,8959,0,대방동 391-62,37.5006264,126.9256932
91,1236679,2015,초등학교,동작초교,0,11032,0,사당동 산9-1,37.49404496,126.9770104
