,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소,법정동
124,119000317,20233,래미안상도3차중문,126.95383990030001,37.5000172185,,서울특별시 동작구 상도동 439,서울특별시 동작구 상도로53길 31,상도동
125,119000316,20235,금양빌딩,126.953501942,37.4995065114,,서울특별시 동작구 상도동 439,서울특별시 동작구 상도로53길 25,상도동
126,119000134,20240,동작구청정문,126.94006215520001,37.5123768448,,서울특별시 동작구 노량진동 50-1,서울특별시 동작구 장승배기로 161,노량진동
127,119000135,20241,상도SH빌아파트상도팰리스후문,126.95382025040001,37.5025096559,,서울특별시 동작구 상도동 430,서울특별시 동작구 상도로53길 70,상도동
128,119000136,20242,상도SH빌아파트상도팰리스후문,126.9542926452,37.503141512199996,,서울특별시 동작구 상도동 439,서울특별시 동작구 상도로47사길 14,상도동
129,119000137,20243,상도3차삼성래미안후문,126.9538904122,37.5006110606,,서울특별시 동작구 상도동 431,서울특별시 동작구 상도로53길 8,상도동
130,119000138,20244,상도3차삼성래미안후문,126.9535689972,37.5009407383,,서울특별시 동작구 상도동 439,서울특별시 동작구 상도로53길 41,상도동
131,119000139,20245,상도1동주민센터.상도3차래미안,126.9532186697,37.4986608104,,서울특별시 동작구 상도동 431,서울특별시 동작구 상도로53길 8,상도동
132,119000140,20246,상도1동주민센터.상도3차래미안,126.9532043232,37.498089505500005,,서울특별시 동작구 상도동 439,서울특별시 동작구 상도로53길 9,상도동
133,119000290,20247,노들역앞,126.9522638617,37.5132618801,,서울특별시 동작구 본동 258-19,서울특별시 동작구 노량진로23가길 23,본동
134,119000295,20248,대방역1번출구앞,126.9276883498,37.5131277436,,서울특별시 동작구 대방동 106-5,서울특별시 동작구 노량진로 22,대방동
135,119000291,20249,대방역.여의교앞,126.92733,37.514757,,서울특별시 동작구 대방동 498-1,서울특별시 동작구 여의대방로62길 1,대방동
136,119000294,20250,노들역4번출구앞,126.9533594381,37.5124572784,,서울특별시 동작구 본동 150,서울특별시 동작구 노량진로 248,본동
137,119000293,20251,동작실버센터입구,126.9567458811,37.5130085949,,서울특별시 동작구 본동 5-17,서울특별시 동작구 현충로 6,본동
138,119000296,20252,사당동대아신협앞,126.9761194266,37.4832641869,,서울특별시 동작구 사당동 321-8,서울특별시 동작구 사당로 256,사당동
139,119000302,20253,사당역9번출구앞,126.9813958895,37.47739263,,서울특별시 동작구 사당동 1112,서울특별시 동작구 동작대로 9,사당동
140,119900312,20494,사당솔밭도서관,126.9670560347,37.4840171336,,서울특별시 동작구 사당동 산 32-61,서울특별시 동작구 솔밭로 83,사당동
141,119900311,20495,효주파크빌,126.926749425,37.5027284564,,서울특별시 동작구 대방동 466-10,서울특별시 동작구 대방동2길 43,대방동
142,119900310,20496,남성초등학교입구,126.9769232473,37.4837563501,,서울특별시 동작구 사당동 323-6,서울특별시 동작구 사당로23길 57-14,사당동
143,119900308,20497,벽산아파트,126.92182662319999,37.497733194,,서울특별시 동작구 신대방동 378-10,서울특별시 동작구 여의대방로24길 30,신대방동
144,119900306,20498,정금마을,126.98124255270001,37.4937440545,,서울특별시 동작구 동작동 산 4-2,서울특별시 동작구 동작대로 171,동작동
145,119900307,20499,이수힐스테이트,126.97974057129998,37.4941844461,,서울특별시 동작구 동작동 333-6,서울특별시 동작구 동작대로39가길 31,동작동
146,119900083,20500,사당역10번출구,126.98158107309999,37.478687414899994,,서울특별시 동작구 사당동 1112,서울특별시 동작구 동작대로 25,사당동
147,119900313,20501,현대2차아파트후문,126.931926944,37.510702697,,서울특별시 동작구 대방동 23-2,서울특별시 동작구 등용로 107,대방동
148,119900256,20502,극동상가,126.97409584559999,37.491687286,,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 119,사당동
149,119900082,20503,삼성래미안.롯데캐슬,126.9709674424,37.4897032286,,서울특별시 동작구 사당동 1133-11,서울특별시 동작구 사당로23바길 9,사당동
150,119900081,20504,자이아파트정문앞,126.96278030049999,37.4891368419,,서울특별시 동작구 사당동 1139-2,서울특별시 동작구 사당로2가길 109,사당동
151,119900080,20505,달마사,126.9609230186,37.4996331671,,서울특별시 동작구 흑석동 산 60-50,서울특별시 동작구 서달로 62,흑석동
152,119900079,20506,상도4동성문교회,126.93950083780001,37.498659988600004,,서울특별시 동작구 상도동 산 65-74,서울특별시 동작구 양녕로25사길 45,상도동
153,119900078,20507,사자암,126.93631897979999,37.4937689308,,서울특별시 동작구 상도동 283-59,서울특별시 동작구 성대로6가길 152,상도동
154,119900156,20508,노들역.노량진교회,126.9545381791,37.5123130172,,서울특별시 동작구 본동 48,서울특별시 동작구 노량진로 252,본동
155,119900077,20509,사당3동주민센터.대림현대아파트,126.9724840951,37.4861568443,,서울특별시 동작구 사당동 169-33,서울특별시 동작구 사당로17길 69,사당동
156,119900076,20510,행복유치원,126.9405489643,37.4963336636,,서울특별시 동작구 상도동 210-399,서울특별시 동작구 양녕로23길 40,상도동
157,119900075,20511,이수역,126.9806261973,37.4850014413,,서울특별시 동작구 사당동 144-4,서울특별시 동작구 사당로 297,사당동
158,119900074,20512,보라매공원,126.9186077623,37.4946906987,,서울특별시 동작구 신대방동 722,서울특별시 동작구 여의대방로20길 33,신대방동
159,119900073,20513,신대방삼거리역,126.9281819736,37.4999673048,,서울특별시 동작구 대방동 393-65,서울특별시 동작구 상도로 69,대방동
160,119900314,20515,현대2차아파트후문,126.9321404098,37.5110632602,,서울특별시 동작구 대방동 23-112,서울특별시 동작구 등용로 110-1,대방동
161,119900257,20516,극동아파트110동,126.97467191530001,37.4903636891,,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 115,사당동
162,119900258,20517,극동아파트110동,126.97412101489999,37.4908474626,,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 119,사당동
