tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,1L6NhqGiD3bmcDuXsyFme8GaBXsj_D2dzPCfbHF8Ez5nWV8,123321188888888,206,58,50,False,False,True,True
GRANDMASTER,ftL9AaMRkEW2fg4lFwzkTGBGtaCXwtLBQ_tITW3u1o0lgWE,베인장인요맨,398,105,77,True,False,False,False
GRANDMASTER,DFO8OYZ8zzuEB-VCdouGj2hvYfmnJjsp57B94imi0fvCbOk,눈이 예쁘다 그치,256,146,120,False,False,False,True
GRANDMASTER,1CvHXgtFfRJALZD8gh9HcaRonO_LTmisBIHr30wpLR5y4w,ShrimpVicious,317,361,338,False,False,True,True
GRANDMASTER,NdLt7489IBN09xs92l1l2CbOfzoo1AASI2NzL3bnyqrus78,Shadow2003,351,139,152,False,False,False,False
GRANDMASTER,nt1-pblSRWaHla7w3MAvyERIfQA9BOedf966U9abeh9mBrE,Viod,205,208,200,False,False,True,False
GRANDMASTER,ZiYADpl-8tA9Uog_jEkspMHzqW-i3idcl_ZHhOOfK_B0vQ,술 사,306,118,102,False,False,False,False
GRANDMASTER,Q86xkV-jq3F0dUnMzKqVWU0pZDTxncibp94Yk5Wwqz5oisk,힐 써서 막타 침,194,516,532,False,False,True,False
GRANDMASTER,BrkxId3nWmoW6hSKZrbYF2Fv_-mqRcEtfKC8mvp_1dxN2hQ,sup격차,354,136,124,True,False,False,False
GRANDMASTER,3l_j74M0wlLnf_2PpGDR5fTONETUHcJ3oq2kqyFZrAq88_g,hfdidi,543,300,282,True,False,False,False
GRANDMASTER,RUe8rk9iaFvqu39h5G7QN_VNsJiRM-s4wpnIsyLHYSU-Xzs,HANYOHANYOHAN,341,169,158,True,False,False,False
GRANDMASTER,u5n3PKDngWHeOUljlcQ-dh3Bp6PHH6hpUmc4ZIf2lflJLzE,인생목표한남더힐,223,100,89,False,False,True,True
GRANDMASTER,73x_s7bM7f6JI1aystPzcHluKJEkT2poneVWtfYA9v-kUhg,F A 군면제 서폿,346,220,223,False,False,False,False
GRANDMASTER,3d-32Is6AMQhM93SC5q38viEo8Vhf_bF29jK5GBDnuQqzjM,협곡의백정원딜,313,156,128,True,False,False,False
GRANDMASTER,wC05IyQXLVygMuo0wvLltqGgrOH-9HWxRFKv20qeUGzIAg,Furyy,456,101,79,False,False,False,False
GRANDMASTER,6o3-ThJdEsadZIwIM-QzJldFX3O_kFqxgQUq55SmWfFWgQ,T1 Roach,249,156,150,True,False,False,False
GRANDMASTER,G68fKTMCjmbvMXAx2v8PdsXzHnjxoUDlNOKCQCuDAVLgajs,sakaIaka,433,92,54,False,False,False,False
GRANDMASTER,iZkJ2NLtjbiSYxDNcINfjlt95ltSOPLp9Shjt_eWs7sfq6c,나는 고기다,507,134,115,False,False,False,False
GRANDMASTER,pEq6OhEOALMDuMmhMjc736w8fp6co4FzlnJrwRcyxkE5LDw,Mei Tian Kun,322,137,176,False,False,True,False
