시도,시군구,행정동,latitude,longitude,sort,value
서울특별시,동작구,흑석동,37.50577502,126.9665908,f.25~29세,"2,667"
서울특별시,동작구,사당1동,37.48315533,126.9786716,f.25~29세,"3,485"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,f.25~29세,"2,217"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,f.25~29세,"2,050"
서울특별시,동작구,사당4동,37.48095899,126.9716308,f.25~29세,"1,600"
서울특별시,동작구,사당5동,37.48562502,126.9670158,f.25~29세,"1,236"
서울특별시,동작구,대방동,37.50816426,126.9263435,f.25~29세,"3,681"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,f.25~29세,"1,734"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,f.25~29세,"2,176"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,g.30~34세,"2,866"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,g.30~34세,"1,010"
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,g.30~34세,"3,197"
서울특별시,동작구,상도2동,37.50546652,126.942311,g.30~34세,"2,373"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,g.30~34세,"2,264"
서울특별시,동작구,상도4동,37.50055916,126.9378048,g.30~34세,"2,560"
서울특별시,동작구,흑석동,37.50577502,126.9665908,g.30~34세,"2,237"
서울특별시,동작구,사당1동,37.48315533,126.9786716,g.30~34세,"2,719"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,g.30~34세,"2,292"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,g.30~34세,"1,932"
서울특별시,동작구,사당4동,37.48095899,126.9716308,g.30~34세,"1,318"
서울특별시,동작구,사당5동,37.48562502,126.9670158,g.30~34세,"1,127"
서울특별시,동작구,대방동,37.50816426,126.9263435,g.30~34세,"2,837"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,g.30~34세,"1,449"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,g.30~34세,"1,723"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,h.35~39세,"2,495"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,h.35~39세,855
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,h.35~39세,"3,364"
서울특별시,동작구,상도2동,37.50546652,126.942311,h.35~39세,"2,564"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,h.35~39세,"2,071"
서울특별시,동작구,상도4동,37.50055916,126.9378048,h.35~39세,"2,421"
