,개방서비스명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
392,숙박업,서울특별시 동작구 사당동 1006-2번지 ,서울특별시 동작구 동작대로23길 33 (사당동),이수스테이,여인숙업,37.4841453,126.9798546
393,숙박업,서울특별시 동작구 상도동 179-9번지 ,서울특별시 동작구 장승배기로10길 10 (상도동),명여관,여관업,37.50441605,126.9398064
394,숙박업,서울특별시 동작구 상도동 23-45번지 ,서울특별시 동작구 상도로 235 (상도동),용궁장모텔,여관업,37.50544953,126.9450371
395,숙박업,서울특별시 동작구 노량진동 28-8번지 외2필지 ,"서울특별시 동작구 노량진로6길 2 (노량진동,외2필지)",썬파크 모텔,여관업,37.51294684,126.9358405
396,숙박업,서울특별시 동작구 노량진동 231-1번지 ,서울특별시 동작구 장승배기로22길 6 (노량진동),호텔노블,여관업,37.50965915,126.9404717
397,숙박업,서울특별시 동작구 상도동 183-16번지 ,서울특별시 동작구 상도로26길 2 (상도동),뉴욕장모텔,여관업,37.50380193,126.9378972
398,숙박업,서울특별시 동작구 상도동 169-29번지 ,서울특별시 동작구 장승배기로10길 47 (상도동),동일장여관,여관업,37.50444935,126.9415351
399,숙박업,서울특별시 동작구 신대방동 685-3번지 외2필지 ,"서울특별시 동작구 신대방3길 87 (신대방동,외2필지)",옥수장,여관업,37.48871169,126.9072435
400,숙박업,서울특별시 동작구 노량진동 312-34번지 ,서울특별시 동작구 장승배기로17길 7 (노량진동),힐링모텔,여관업,37.50705674,126.9393288
401,숙박업,서울특별시 동작구 흑석동 102-10번지 ,서울특별시 동작구 서달로13길 13 (흑석동),연흥,여인숙업,37.50830429,126.9620261
402,숙박업,서울특별시 동작구 상도동 348-145번지 ,서울특별시 동작구 상도로15길 5 (상도동),동원장여관,여인숙업,37.50128632,126.9326367
403,숙박업,서울특별시 동작구 신대방동 685-5번지 ,서울특별시 동작구 신대방3길 83 (신대방동),신성,여관업,37.48868304,126.907473
404,숙박업,서울특별시 동작구 흑석동 102-67번지 ,서울특별시 동작구 서달로13길 5-19 (흑석동),영빈장,여관업,37.5077306,126.9619757
405,숙박업,서울특별시 동작구 흑석동 95-34번지 ,서울특별시 동작구 서달로10길 11-6 (흑석동),대호,여관업,37.50604566,126.9620602
406,단란주점영업,서울특별시 동작구 상도동 26-36번지 ,서울특별시 동작구 상도로 210 (상도동),샤방샤방,단란주점,37.50504302,126.9420705
407,단란주점영업,서울특별시 동작구 대방동 400-5번지 ,서울특별시 동작구 여의대방로24가길 31 (대방동),샤인,단란주점,37.49969188,126.9208314
408,단란주점영업,서울특별시 동작구 상도동 346-9번지 ,서울특별시 동작구 성대로1길 1 (상도동),엣지,단란주점,37.50033555,126.9324265
409,단란주점영업,"서울특별시 동작구 사당동 133-17번지 ,20 ",서울특별시 동작구 동작대로27길 6 (사당동),코비주점,단란주점,37.48779331,126.9815911
410,단란주점영업,서울특별시 동작구 사당동 321-5번지 ,서울특별시 동작구 사당로22길 4 (사당동),싱글주점,단란주점,37.4832672,126.9765731
411,단란주점영업,서울특별시 동작구 신대방동 347-25번지 ,서울특별시 동작구 여의대방로24길 134 (신대방동),친한친구,단란주점,37.49905994,126.9274742
412,단란주점영업,서울특별시 동작구 사당동 1044-28번지 (지하1층) ,"서울특별시 동작구 동작대로1길 33 (사당동,(지하1층))",파파코,단란주점,37.47723306,126.979508
413,단란주점영업,서울특별시 동작구 대방동 336-12번지 ,서울특별시 동작구 상도로 78 (대방동),굿타임 노래짱,단란주점,37.49955849,126.9291386
414,단란주점영업,서울특별시 동작구 대방동 416-4번지 ,서울특별시 동작구 여의대방로24가길 22 (대방동),우주가요주점,단란주점,37.49921529,126.9211749
415,단란주점영업,서울특별시 동작구 대방동 385-13번지 ,서울특별시 동작구 여의대방로36길 1 (대방동),승리,단란주점,37.50426254,126.9223844
416,단란주점영업,서울특별시 동작구 신대방동 588-2번지 ,서울특별시 동작구 시흥대로 668 (신대방동),카라,단란주점,37.49092613,126.9085592
